Date,NVDA
2020-09-25,12.836187362670898
2020-09-28,12.996964454650879
2020-09-29,13.18716049194336
2020-09-30,13.491019248962402
2020-10-01,13.574773788452148
2020-10-02,13.02413558959961
2020-10-05,13.602690696716309
2020-10-06,13.696419715881348
2020-10-07,13.923256874084473
2020-10-08,13.798371315002441
2020-10-09,13.722591400146484
2020-10-12,14.184490203857422
2020-10-13,14.20667552947998
2020-10-14,14.054122924804688
2020-10-15,13.929237365722656
2020-10-16,13.771198272705078
2020-10-19,13.458364486694336
2020-10-20,13.605683326721191
2020-10-21,13.485288619995117
2020-10-22,13.322014808654785
2020-10-23,13.5505952835083
2020-10-26,13.102907180786133
2020-10-27,13.357658386230469
2020-10-28,12.590157508850098
2020-10-29,12.985998153686523
2020-10-30,12.497428894042969
2020-11-02,12.544041633605957
